adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/2tE0A6WjLowwQOUY8se1Xlf3O6U.jpg,"[18, 36]",68730,en,Silence,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",23.308,/x5T0cQDYws0xRBVG4Q3wpcrcmax.jpg,2016-12-22,Silence,False,7.128,3032
False,/biUrxGIyrJjMGwASrPECVbrh6w4.jpg,"[27, 9648]",663866,en,Censor,"A screener at the British Board of Film Classification (BBFC), who has earned an unsavory reputation for being the strictest censor of violent films, begins to spiral out of control after viewing a low-budget horror with similarities to the disappearance of her sister.",23.307,/1FOEEtGFPp5cgpLfPQVMB0UNVpI.jpg,2021-06-11,Censor,False,5.834,379
False,/f6DWty3qQGwGq7yeliuL7kX5Ffm.jpg,"[35, 18]",1001472,fr,HLM Pussy,"Amina, Djeneba and Zineb are three inseparable teenagers who find themselves in hot water when they post a video on social networks identifying an assailant who attacked one of the three. The video draws a public outcry, and they will have to choose between continuing their fight or giving in to pressure.",19.438,/pLGHU3pTLyHnQlgzstn5YJCeXy3.jpg,2024-03-06,Sisterhood,False,5.7,17
False,/6ufHj6uqyje1ogAlCvRB54hcGgn.jpg,"[16, 12, 14, 28, 10751]",571891,ja,ミュウツーの逆襲 EVOLUTION,"After accepting an invitation from a mysterious trainer, Ash, Misty and Brock meet Mewtwo, an artificially created Pokémon who wants to do battle.",23.367,/xlO50h3EX1w99KGztTzsjQBwPfs.jpg,2019-07-12,Pokémon the Movie: Mewtwo Strikes Back - Evolution,False,6.7,526
False,,[35],66157,en,GravyTrain,"Gypsy Creek's # 1 cop, Charles Gravytrain believes in three things: Truth, Justice, and slapping the no good crook Jimmy Fish Eye's in the slammer for life! And with the help of his foxy new partner, big city cop Miss Uma Booma, he may do just that. But in a town that has more stinky secrets and slippery surprises than a tin of rotten sardines the only question remains...Where's the Fish?!",15.73,,2010-01-01,GravyTrain,False,5.0,4
False,/ntsZ4FwUbbt8tXS0fJpTiV6lFnU.jpg,[35],48579,en,La pretora,"Intransigent magistrate Viola Orlando is targeted by her rivals who set her twin sister Rosa — a high-class prostitute and pornographic photo-novel star — up to impersonate Viola and demolish her reputation. To complicate things even further, Viola is torn between enforcing the law or giving up her seat on the bench to marry her childhood friend.",15.431,/1C73JoBvAryD2mwA3wqdajfJb22.jpg,1976-11-05,My Sister in Law,False,5.5,30
False,/tVZ8HBPmMF73sMrX1vEGkeAdq8b.jpg,"[10751, 16, 12]",14873,en,The Jungle Book 2,"Mowgli has been living in the man-village with his little stepbrother Ranjan and his best friend Shanti. But the man-cub still has that jungle rhythm in his heart, and he misses his old buddies Baloo and Bagheera. When Mowgli wanders back to the wild for some swingin' fun, he soon finds the man-eating tiger Shere Khan is lurking in the shadows and planning his revenge.",27.107,/21GanxizOIL1CN0HLx7j3je8k87.jpg,2003-02-07,The Jungle Book 2,False,5.9,1128
False,/f9Faf4dGaDFj5p7nnAAyAmF7jEF.jpg,"[27, 10749]",32292,ja,ザ・ギニーピッグ マンホールの中の人魚,"An artist dealing with the grief of his wife leaving him finds solace in painting the squalor of the sewer. He discovers a trapped mermaid, whom he brings home to heal. Her condition worsens, and she asks the artist to paint her before she dies.",16.845,/vN2JcO9ZIn00DbuDbNjCWtqwqS6.jpg,1988-07-25,Guinea Pig: Mermaid in the Manhole,False,5.2,58
False,/lLaeFLQNsZ11zG3LTSczD3YNLad.jpg,[18],837938,en,The Inspection,"Ellis French is a young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside. But even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life.",28.549,/pvx7TwLXVDKD4jbDeAQ7w459zIY.jpg,2022-11-18,The Inspection,False,6.2,64
False,/Sb2cLe2xW5OATkZZJBbGrB6qjl.jpg,"[10749, 16, 10751, 35, 12]",15789,en,A Goofy Movie,"An endearing modern-day story about how the lovable Goof bonds with his teenage son Max on a hilarious cross-country road trip. En route to the ol' fishing hole, they find themselves up to their floppy ears in misadventure!",22.104,/bycmMhO3iIoEDzP768sUjq2RV4T.jpg,1995-04-07,A Goofy Movie,False,7.0,1752
False,/pyeknyOKRLBd4ROOeYL6kV103ov.jpg,"[35, 27, 53]",11974,en,The 'Burbs,"When secretive new neighbors move in next door, suburbanite Ray Peterson and his friends let their paranoia get the best of them as they start to suspect the newcomers of evildoings and commence an investigation. But it's hardly how Ray, who much prefers drinking beer, reading his newspaper and watching a ball game on the tube expected to spend his vacation.",22.854,/vrVPAcv2njVdnkqhBwGBc7UxCjz.jpg,1989-02-17,The 'Burbs,False,6.758,1221
False,/tX9QP4WciyzzGlXlYFf5a8Q7w6V.jpg,"[28, 35, 53, 80]",11045,en,Taxi,A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.,20.603,/eLDoNLJHZPcavTT1vJqZoGydoWB.jpg,2004-10-06,Taxi,False,5.591,1051
